Design,Frontal Area (m²),Average Cd,Cd
E_S_WWC_WM_315,2.188,0.2724134951063123,0.5960407272926114
E_S_WWC_WM_129,2.438,0.243246912910299,0.593035973675309
E_S_WWC_WM_191,2.172,0.2587966445448504,0.5621063119514151
E_S_WWC_WM_565,2.112,0.2758970831162791,0.5826946395415814
E_S_WWC_WM_512,2.398,0.2675104681993356,0.6414901027420068
E_S_WWC_WM_311,2.026,0.2543851478073089,0.5153843094576078
E_S_WWC_WM_476,2.548,0.2306134578039867,0.5876030904845582
E_S_WWC_WM_383,2.514,0.288526345807309,0.7253552333595749
E_S_WWC_WM_039,2.268,0.2480935349667773,0.5626761373046508
E_S_WWC_WM_100,2.054,0.2411230724883721,0.49526679089111625
E_S_WWC_WM_428,2.196,0.2592170188139535,0.5692405733154419
E_S_WWC_WM_412,2.184,0.2708823868637874,0.5916071329105117
E_S_WWC_WM_596,2.06,0.264727889923588,0.5453394532425913
E_S_WWC_WM_015,2.534,0.2767532053156146,0.7012926222697673
E_S_WWC_WM_698,2.134,0.247216630564784,0.527560289625249
E_S_WWC_WM_308,2.422,0.2830484956212625,0.6855434563946978
E_S_WWC_WM_132,2.138,0.2739580852093023,0.5857223861774883
E_S_WWC_WM_560,2.308,0.2724080061395349,0.6287176781700465
E_S_WWC_WM_641,2.01,0.2720577697906977,0.5468361172793023
E_S_WWC_WM_122,2.448,0.2608387323820598,0.6385332168712824
E_S_WWC_WM_068,2.316,0.2538420667441861,0.5878982265795349
E_S_WWC_WM_506,2.08,0.2677452338504983,0.5569100864090365
E_S_WWC_WM_390,2.19,0.2647162805913621,0.5797286544950829
E_S_WWC_WM_691,2.474,0.2725752090465116,0.6743510671810697
E_S_WWC_WM_439,2.264,0.2551894490764119,0.5777489127089964
E_S_WWC_WM_534,2.21,0.3094575784584717,0.6839012483932225
E_S_WWC_WM_553,2.312,0.2673878479800664,0.6182007045299134
E_S_WWC_WM_332,2.068,0.2762389658239203,0.5712621813238673
E_S_WWC_WM_078,2.266,0.2783637292724252,0.6307722105313155
E_S_WWC_WM_660,2.558,0.2630796933056478,0.672957855475847
E_S_WWC_WM_358,2.396,0.253302411372093,0.6069125776475347
E_S_WWC_WM_600,2.302,0.3053299558903654,0.7028695584596211
E_S_WWC_WM_263,2.436,0.2245553890365448,0.5470169276930231
E_S_WWC_WM_644,2.614,0.2775005823621262,0.7253865222945979
E_S_WWC_WM_367,2.128,0.2842675831627906,0.6049214169704185
E_S_WWC_WM_085,2.536,0.2498667735149501,0.6336621376339134
E_S_WWC_WM_219,2.132,0.2985324954651163,0.6364712803316279
E_S_WWC_WM_404,2.324,0.2785360402624584,0.6473177575699532
